"Site","Date","Time","Calcium_mg_L","Hardness_total_mg_L","Magnesium_mg_L","Salinity_ppt","Phosphorus_total_mg_L","NH3_mg_L","Copper_mg_L","E_coli_MPN_100mL","Conductivity_uS","do_percent_sat","Temperature_C","do_mg_L","pH","Turbidity_NTU","TSS_mg_L","Nitrogen_total_mg_L","NO2_NO3_mg_L","TKN_mg_L","Zinc_mg_L","Salinity_uS","E_coli_CFU_100mL"
"BB2","2008-09-30","9:52",NA,NA,NA,NA,NA,NA,NA,236,106.8,88.5,19.9,8.1,6.5,4.9,2.2,0.74,0.41,0.33,0.029,NA,NA
"BBS3","2008-09-30","8:30",NA,NA,NA,NA,0.05,0.02,0.005,326,132.5,48.4,20,4.38,6.72,22,10.8,0.68,0.03,0.65,0.031,NA,NA
"BDB1","2008-09-30","10:16",NA,NA,NA,NA,NA,NA,NA,236,137.2,77.5,20.3,7.02,6.44,3,2.4,1.01,0.62,0.39,0.036,NA,NA
"CC4","2008-09-30","9:40",NA,NA,NA,NA,NA,NA,NA,81,145.5,83.3,21.2,7.43,7.2,21.4,10.3,1.23,0.4,0.83,0.04,NA,NA
"CC5","2008-09-30","9:05",NA,NA,NA,NA,NA,NA,NA,308,109.5,84.1,21.4,7.42,7,15.1,9,0.34,0.34,NA,0.04,NA,NA
"HC7","2008-09-30","11:06",NA,NA,NA,NA,NA,NA,NA,435,114.9,82.3,19.9,7.46,6.59,6.6,6.8,0.52,0.25,0.27,0.03,NA,NA
"HSC6","2008-09-30","11:54",NA,NA,NA,NA,NA,NA,NA,184,85.8,100.1,20.6,9.1,7.4,4.5,1.9,1.03,0.46,0.57,0.04,NA,NA
"LBC8","2008-09-30","11:20",NA,NA,NA,NA,NA,NA,NA,291,182.7,79.7,19.9,7.37,7,33.4,16.1,0.99,0.13,0.86,0.042,NA,NA
"MC10","2008-09-30","10:42",NA,NA,NA,NA,NA,NA,NA,156,NA,81.5,21.3,7.21,6.47,8.4,4.2,0.19,0.19,NA,0.019,NA,NA
"MC9","2008-09-30","9:30",NA,NA,NA,NA,0.12,0.17,NA,2650,94.8,78.2,20.7,7.01,6.88,4.7,3.9,2.49,0.39,2.1,NA,NA,NA
"PC11","2008-09-30","10:00",NA,NA,NA,NA,NA,NA,NA,210,105.7,67.2,20.1,6.54,6.9,7.5,4.9,1.1,0.44,0.66,0.023,NA,NA
"PHB12","2008-09-30","9:13",NA,NA,NA,NA,NA,NA,NA,411,225,76.8,20.7,6.85,6.9,2.2,2.1,1.52,1.13,0.39,0.031,NA,NA
"RB15","2008-09-30","8:31",NA,NA,NA,NA,NA,NA,0.005,579,357,70.1,19.9,6.45,7.06,2.3,2.2,1.77,1.51,0.26,0.031,NA,NA
"RC13","2008-09-30","10:10",NA,NA,NA,NA,NA,NA,0.005,138,74.7,97.4,20.4,8.78,7.3,9.5,5.7,1.03,0.49,0.54,0.027,NA,NA
"RC14","2008-09-30","10:40",NA,NA,NA,NA,NA,0.1,NA,3110,105.3,75.3,19.5,6.79,6.96,14.4,5.1,0.69,0.22,0.47,0.026,NA,NA
"SC16","2008-09-30","9:00",NA,NA,NA,NA,0.16,NA,0.004,313,88.9,89.1,19.7,8.25,7.2,8.1,3.5,0.97,0.25,0.72,0.006,NA,NA
"TC17","2008-09-30","8:30",NA,NA,NA,NA,NA,NA,0.003,688,86.9,90.3,19.3,8.31,7.2,5.8,3,0.6,0.18,0.42,0.049,NA,NA
"WC18","2008-09-30","8:00",NA,NA,NA,NA,NA,NA,0.006,214,111.3,74.1,20.4,6.8,6.89,9.2,4.8,0.75,0.27,0.48,0.028,NA,NA
"BB2","2008-12-16","9:50",NA,NA,NA,NA,NA,NA,NA,140,119.9,97.2,12,10.44,6.36,4.7,3.1,0.55,0.55,NA,0.013,NA,NA
"BBS3","2008-12-16","8:45",NA,NA,NA,NA,NA,NA,NA,28,148.9,73.9,10.3,8.27,6.58,9.6,5.4,0.32,0.32,NA,NA,NA,NA
"BDB1","2008-12-16","10:15",NA,NA,NA,NA,NA,NA,NA,228,154.5,90.2,12.1,9.8,6.62,2.4,1.7,1.15,1.15,NA,0.013,NA,NA
"CC4","2008-12-16","9:35",NA,NA,NA,NA,NA,0.03,NA,345,138.5,94,11.7,10.5,6.7,29,16,1.2,0.42,0.78,0.033,NA,NA
"CC5","2008-12-16","9:15",NA,NA,NA,NA,NA,NA,NA,345,123.4,94.6,11.4,10.3,7.06,27.1,14,1.02,0.44,0.58,0.011,NA,NA
"HC7","2008-12-16","11:00",NA,NA,NA,NA,NA,NA,NA,147,124.3,92.5,11.8,10,6.37,6.3,8.8,0.45,0.45,NA,0.011,NA,NA
"HSC6","2008-12-16","11:30",NA,NA,NA,NA,NA,NA,NA,308,89.9,100.8,11.6,10.95,7,20.2,6.8,0.97,0.53,0.44,0.017,NA,NA
"LBC8","2008-12-16","11:00",NA,NA,NA,NA,NA,NA,NA,86,163,85,10.9,9.39,6.9,28.4,10.7,0.49,0.06,0.43,0.014,NA,NA
"MC10","2008-12-16","10:40",NA,NA,NA,NA,NA,NA,NA,236,73.5,93.5,11.3,10.3,5.88,15.7,7,0.2,0.2,NA,NA,NA,NA
"MC9","2008-12-16","9:40",NA,NA,NA,NA,NA,NA,NA,488,118.9,91.7,11.7,9.9,6.91,5.1,2.2,0.55,0.55,NA,0.011,NA,NA
"PC11","2008-12-16","10:10",NA,NA,NA,NA,NA,0.03,0.211,96,123.3,87.4,11.6,9.58,7.17,13.2,6,0.47,0.47,NA,0.157,NA,NA
"PHB12","2008-12-16","9:20",NA,NA,NA,NA,NA,NA,NA,308,236,90.5,12.9,9.65,6.85,3.6,1.3,1.65,1.65,NA,NA,NA,NA
"RB15","2008-12-16","8:45",NA,NA,NA,NA,0.07,0.17,NA,649,330,81,12.6,9,6.91,5.6,1.6,1.86,1.6,0.26,NA,NA,NA
"RC13","2008-12-16","10:05",NA,NA,NA,NA,NA,NA,NA,126,84,100.9,11.7,10.94,6.7,46.2,11.3,0.72,0.24,0.48,NA,NA,NA
"RC14","2008-12-16","10:30",NA,NA,NA,NA,NA,NA,NA,276,108.6,96.4,11.2,10.53,7.13,17.8,5.6,0.26,0.26,NA,NA,NA,NA
"SC16","2008-12-16","9:10",NA,NA,NA,NA,NA,NA,0.054,205,82,96.3,11.4,10.52,6.9,33.3,7.5,0.73,0.16,0.57,0.035,NA,NA
"TC17","2008-12-16","8:50",NA,NA,NA,NA,NA,0.02,NA,166,138.9,95.3,11.3,10.54,6.6,25.2,8,0.46,0.15,0.31,NA,NA,NA
"WC18","2008-12-16","8:25",NA,NA,NA,NA,NA,NA,NA,1200,139.5,86.1,10.9,9.55,6.95,15.4,6.7,0.46,0.46,NA,NA,NA,NA
"BB2","2009-03-17","10:20",NA,NA,NA,NA,NA,NA,NA,579,107.2,99,10.2,11.09,5.87,17.4,7.3,1.27,0.68,0.59,0.02,NA,NA
"BBS3","2009-03-17","8:20",NA,NA,NA,NA,NA,NA,NA,261,95.3,79.5,9.7,9.04,5.96,26.8,12.3,0.24,0.24,NA,NA,NA,NA
"BDB1","2009-03-17","10:50",NA,NA,NA,NA,NA,NA,NA,1050,126.2,97.5,10.4,10.9,5.95,17.9,5.6,1.76,1.05,0.71,0.016,NA,NA
"CC4","2009-03-17","9:15",NA,NA,NA,NA,NA,NA,NA,308,138.1,99.6,10,11.22,6,39.6,30,1.36,0.24,1.12,NA,NA,NA
"CC5","2009-03-17","8:50",NA,NA,NA,NA,NA,0.02,NA,579,124.2,99.5,10,11.25,6.55,54.2,52,1.25,0.3,0.95,0.013,NA,NA
"HC7","2009-03-17","11:45",NA,NA,NA,NA,NA,NA,NA,1200,158.7,98.5,10.8,10.95,6.3,31.3,9.1,1.18,0.47,0.71,0.02,NA,NA
"HSC6","2009-03-17","11:25",NA,NA,NA,NA,NA,0.02,NA,210,105.1,100.7,10.6,11.26,6.3,21,8.5,1.14,0.42,0.72,NA,NA,NA
"LBC8","2009-03-17","10:45",NA,NA,NA,NA,NA,NA,NA,365,100.4,93.8,9.4,10.73,6,57.8,29.8,1.27,0.15,1.12,0.013,NA,NA
"MC10","2009-03-17","11:20",NA,NA,NA,NA,NA,NA,NA,980,79.5,100.8,10.5,11.36,6.1,29.6,19.8,0.88,0.31,0.57,NA,NA,NA
"MC9","2009-03-17","9:10",NA,NA,NA,NA,NA,NA,NA,1200,100.6,91.4,9.9,10.33,6.69,28.8,19.8,1.18,0.42,0.76,0.02,NA,NA
"PC11","2009-03-17","9:35",NA,NA,NA,NA,NA,NA,NA,548,126.5,94.7,10.1,10.66,6.65,31.7,26.4,0.96,0.42,0.54,0.011,NA,NA
"PHB12","2009-03-17","10:00",NA,NA,NA,NA,NA,NA,NA,1050,147.4,92.5,10.7,10.3,5.85,19.6,6.4,1.39,0.88,0.51,0.032,NA,NA
"RB15","2009-03-17","9:20",NA,NA,NA,NA,0.06,NA,NA,727,187.7,88.6,10.6,9.84,6.13,33,12.2,1.4,0.79,0.61,0.032,NA,NA
"RC13","2009-03-17","9:45",NA,NA,NA,NA,NA,NA,NA,461,154.8,98.7,9.8,11.13,6.1,47.6,21,0.98,0.31,0.67,0.011,NA,NA
"RC14","2009-03-17","9:50",NA,NA,NA,NA,NA,NA,NA,387,80.8,95.6,9.7,10.86,6.66,118,58.3,0.88,0.31,0.57,0.013,NA,NA
"SC16","2009-03-17","8:15",NA,NA,NA,NA,NA,NA,NA,687,109.1,99.6,9.1,11.43,5.9,45.6,27.5,1.1,0.24,0.86,0.011,NA,NA
"TC17","2009-03-17","8:45",NA,NA,NA,NA,NA,NA,NA,579,109.4,96.9,9.7,11.08,5.9,48,19.2,0.17,0.17,NA,NA,NA,NA
"WC18","2009-03-17","8:00",NA,NA,NA,NA,NA,NA,NA,688,126.4,87.2,10.2,9.81,6.34,56.2,20.7,0.9,0.37,0.53,0.028,NA,NA
"BB2","2009-06-16","12:15",NA,NA,NA,NA,NA,0.05,NA,1410,52.4,90.4,22,7.9,6.4,54.2,50.8,0.9,0.16,0.74,NA,NA,NA
"BBS3","2009-06-16","10:00",NA,NA,NA,NA,0.18,0.31,NA,4840,31.3,77.7,20.4,7,5.95,612,442,1.41,0.08,1.33,0.016,NA,NA
"BDB1","2009-06-16","12:35",NA,NA,NA,NA,0.06,0.05,NA,1990,81.5,94.4,21.3,8.33,6.71,74.6,57.2,1.59,0.53,1.06,0.032,NA,NA
"CC4","2009-06-16","8:30",NA,NA,NA,NA,0.24,0.07,NA,1550,109.1,88.3,23,7.54,7,90.5,108,0.79,0.2,0.59,0.018,NA,NA
"CC5","2009-06-16","10:50",NA,NA,NA,NA,0.29,0.11,0.013,3970,55.1,82.5,21.5,7.18,6.42,207,284,2.28,0.19,2.09,0.05,NA,NA
"HC7","2009-06-16","13:30",NA,NA,NA,NA,0.26,0.04,NA,3970,67,93.6,21.6,8.22,6.5,177,183,1.83,0.2,1.63,0.031,NA,NA
"HSC6","2009-06-16","12:00",NA,NA,NA,NA,NA,0.04,NA,1730,63.3,84.1,22,7.59,6.5,62,33.2,1.16,0.21,0.95,NA,NA,NA
"LBC8","2009-06-16","11:25",NA,NA,NA,NA,NA,0.13,NA,1410,271,69.7,22,6.14,7,38,32.8,1.71,0.08,1.63,0.012,NA,NA
"MC10","2009-06-16","13:00",NA,NA,NA,NA,0.11,0.1,NA,2420,55.1,88,24,7.4,6.31,51.3,64.4,0.41,0.02,0.39,NA,NA,NA
"MC9","2009-06-16","11:00",NA,NA,NA,NA,0.1,0.09,NA,1730,44.7,80.5,22.2,7.02,6.17,103,134,0.41,0.12,0.29,0.024,NA,NA
"PC11","2009-06-16","11:40",NA,NA,NA,NA,0.12,0.05,NA,1990,67.4,83.2,23.4,7.09,6.46,160,149,0.68,0.09,0.59,0.019,NA,NA
"PHB12","2009-06-16","11:45",NA,NA,NA,NA,0.1,0.05,0.013,2420,66.1,92,21.3,8.2,6.47,53.8,48,0.85,0.36,0.49,0.039,NA,NA
"RB15","2009-06-16","11:20",NA,NA,NA,NA,0.23,0.1,0.014,2420,60.5,92.5,21,8.2,6.5,199,144,0.59,0.21,0.38,0.093,NA,NA
"RC13","2009-06-16","9:00",NA,NA,NA,NA,0.4,0.14,0.012,2420,64.5,90.4,24,7.56,6.7,292,624,1.5,0.05,1.45,0.037,NA,NA
"RC14","2009-06-16","12:00",NA,NA,NA,NA,0.27,0.07,0.017,2420,64.2,88,21.8,7.73,6.66,265,245,0.89,0.08,0.81,0.031,NA,NA
"SC16","2009-06-16","10:15",NA,NA,NA,NA,NA,0.06,NA,1730,107.3,88.2,21,7.86,6.8,66.2,64.7,0.46,0.08,0.38,NA,NA,NA
"TC17","2009-06-16","10:40",NA,NA,NA,NA,0.14,0.06,NA,1730,59,89.1,21,7.26,6.8,117,78,0.76,0.04,0.72,0.011,NA,NA
"WC18","2009-06-16","10:20",NA,NA,NA,NA,0.27,0.11,NA,2420,43.1,81,20.6,7.25,5.58,232,213,0.57,0.09,0.48,0.042,NA,NA
"BB2","2009-09-15","9:20",NA,NA,NA,NA,NA,0.12,NA,411,140,88,19.8,8.1,5.46,2,1,1.64,0.35,1.29,0.022,NA,NA
"BBS3","2009-09-15","8:00",NA,NA,NA,NA,NA,0.11,NA,62,113,48.6,20.3,4.4,6.38,21.6,5.7,0.84,NA,0.84,0.018,NA,NA
"BDB1","2009-09-15","9:40",NA,NA,NA,NA,NA,0.1,NA,162,155,76,20.8,6.8,5.91,1.88,1.2,1.55,0.5,1.05,0.012,NA,NA
"CC4","2009-09-15","8:50",NA,NA,NA,NA,0.46,0.06,NA,172,430,76,21,6.8,7.4,2.6,1.9,3.69,2.21,1.48,0.056,NA,NA
"CC5","2009-09-15","8:30",NA,NA,NA,NA,NA,0.16,NA,345,315,79.5,20.6,7.13,7.19,4,3.9,1.63,0.62,1.01,0.018,NA,NA
"HC7","2009-09-15","10:30",NA,NA,NA,NA,NA,0.04,NA,488,152,80,20,7.3,5.31,2.2,1.4,0.72,0.14,0.58,0.02,NA,NA
"HSC6","2009-09-15","10:20",NA,NA,NA,NA,NA,0.06,NA,147,103.6,95.1,19.4,8.75,7.2,1.5,NA,1.22,0.54,0.68,0.025,NA,NA
"LBC8","2009-09-15","9:35",NA,NA,NA,NA,NA,0.05,NA,52,203,23,20.5,1.97,6.9,16.7,10.4,1.15,NA,1.15,NA,NA,NA
"MC10","2009-09-15","10:10",NA,NA,NA,NA,NA,0.11,NA,365,79.2,73,20.5,6.6,5.02,2.3,1.9,1.08,0.25,0.83,0.058,NA,NA
"MC9","2009-09-15","9:00",NA,NA,NA,NA,NA,0.08,NA,145,108.7,82.6,19.8,7.56,7.2,4.5,3.2,0.81,0.27,0.54,0.048,NA,NA
"PC11","2009-09-15","9:30",NA,NA,NA,NA,NA,0.04,NA,155,159.5,81.1,19.8,7.38,7.07,3.8,2.2,1.78,0.38,1.4,0.033,NA,NA
"PHB12","2009-09-15","8:50",NA,NA,NA,NA,NA,0.11,NA,219,235,76,21,6.7,6.25,1.6,1.4,1.97,1.18,0.79,0.048,NA,NA
"RB15","2009-09-15","11:05",NA,NA,NA,NA,NA,NA,NA,649,357,76,20.5,6.9,5.92,1.6,NA,1.85,1.85,NA,0.024,NA,NA
"RC13","2009-09-15","7:45",NA,NA,NA,NA,NA,0.05,NA,155,82.9,73,20,6.53,6.4,7.6,4.1,5.16,0.27,4.89,0.04,NA,NA
"RC14","2009-09-15","9:45",NA,NA,NA,NA,NA,0.1,NA,116,128.4,85.3,19.6,7.83,7.24,3.4,2.4,0.57,0.07,0.5,0.015,NA,NA
"SC16","2009-09-15","8:05",NA,NA,NA,NA,NA,0.1,NA,308,140.2,43.1,19,4.03,6.7,4.2,20.4,0.96,0.02,0.94,0.022,NA,NA
"TC17","2009-09-15","8:25",NA,NA,NA,NA,NA,0.09,NA,291,147.5,73,19,6.53,7.1,4.8,2.2,0.92,NA,0.92,0.015,NA,NA
"WC18","2009-09-15","7:40",NA,NA,NA,NA,NA,0.09,NA,186,154.3,84,19.4,7.7,6.8,6.1,2.8,1.2,0.53,0.67,0.021,NA,NA
"BB2","2009-12-15","9:20",NA,NA,NA,NA,NA,NA,NA,99,122.8,99.2,10,11.18,6.54,6.6,4.9,1.58,0.7,0.88,0.01,NA,NA
"BBS3","2009-12-15","8:00",NA,NA,NA,NA,NA,NA,NA,108,95.5,78,9.3,8.96,6.5,16.8,9.2,1.34,0.28,1.06,NA,NA,NA
"BDB1","2009-12-15","9:40",NA,NA,NA,NA,NA,NA,NA,119,151.8,96.4,10.4,10.77,6.61,2.9,NA,1.42,1.42,NA,0.012,NA,NA
"CC4","2009-12-15","9:05",NA,NA,NA,NA,0.09,NA,NA,44,128.1,97.6,8.8,11.3,6,32.5,13.7,1.85,0.45,1.4,0.015,NA,NA
"CC5","2009-12-15","8:20",NA,NA,NA,NA,0.09,NA,NA,NA,121.7,94.1,8.9,10.95,6.8,29.3,11.6,1.7,0.52,1.18,0.012,NA,NA
"HC7","2009-12-15","10:40",NA,NA,NA,NA,0.09,NA,NA,39,129.2,97,10.2,10.93,6.77,17.8,4.5,1.19,0.67,0.52,NA,NA,NA
"HSC6","2009-12-15","10:30",NA,NA,NA,NA,NA,NA,NA,70,93,101.1,9.7,11.45,7,21.1,5.5,1.08,0.61,0.47,NA,NA,NA
"LBC8","2009-12-15","9:50",NA,NA,NA,NA,0.14,NA,NA,225,160,88.5,8.9,10.2,6.9,19.2,8.6,0.87,0.11,0.76,NA,NA,NA
"MC10","2009-12-15","10:10",NA,NA,NA,NA,NA,0.08,NA,291,78.2,97.6,8.7,11.3,6.47,26.8,8.5,1.31,0.37,0.94,0.013,NA,NA
"MC9","2009-12-15","8:45",NA,NA,NA,NA,0.06,NA,NA,52,103.6,91.6,9.3,10.55,6.6,8.3,4.8,0.99,0.54,0.45,NA,NA,NA
"PC11","2009-12-15","9:15",NA,NA,NA,NA,0.07,0.04,NA,125,116.7,86.6,9.7,9.85,6.56,17.6,5.7,0.55,0.55,NA,NA,NA,NA
"PHB12","2009-12-15","8:50",NA,NA,NA,NA,0.07,NA,NA,365,427,92.7,11,10.32,6.7,4.1,1.4,2.86,2.53,0.33,0.025,NA,NA
"RB15","2009-12-15","11:10",NA,NA,NA,NA,0.14,0.12,NA,548,343,86.6,11.4,9.44,7.14,4.2,1.6,2.85,2.37,0.48,0.024,NA,NA
"RC13","2009-12-15","8:00",NA,NA,NA,NA,0.14,0.02,NA,29,80.7,98.3,8.7,11.41,6.2,57.2,17.8,0.71,0.29,0.42,NA,NA,NA
"RC14","2009-12-15","9:40",NA,NA,NA,NA,0.12,NA,NA,142,102.7,92.9,9.8,10.56,6.4,14.2,5.7,0.91,0.38,0.53,NA,NA,NA
"SC16","2009-12-15","8:25",NA,NA,NA,NA,0.1,NA,NA,34,94.6,96.5,8.4,11.41,6.5,28.6,7.2,0.57,0.29,0.28,NA,NA,NA
"TC17","2009-12-15","8:45",NA,NA,NA,NA,0.09,NA,NA,88,138.4,99,9,11.47,6.2,16.4,4.9,0.57,0.26,0.31,NA,NA,NA
"WC18","2009-12-15","7:30",NA,NA,NA,NA,0.08,0.16,NA,687,115.6,84.5,9.4,9.67,6.42,19,9.1,1.1,0.46,0.64,0.016,NA,NA
"BB2","2010-03-16","9:15",8.59,32.7,2.75,NA,NA,NA,NA,179,157.1,102.6,11.1,11.22,6.06,3.1,2.9,0.9,0.6,0.3,0.014,NA,NA
"BBS3","2010-03-16","8:00",6.07,22.9,1.87,NA,NA,NA,NA,50,103.5,78.8,11.4,8.6,6.15,19,10.4,0.64,0.16,0.48,NA,NA,NA
"BDB1","2010-03-16","9:40",9.91,37.1,3.02,NA,NA,0.12,NA,210,157.5,99,10.9,10.89,5.88,2,NA,1.01,1.01,NA,0.012,NA,NA
"CC4","2010-03-16","9:10",8.75,33.3,2.8,NA,0.05,0.05,NA,111,186.6,93.4,13.4,9.8,6.3,22.3,18,1.09,0.26,0.83,0.012,NA,NA
"CC5","2010-03-16","8:20",9.49,36,2.99,NA,NA,0.05,NA,121,181.5,93.5,13.2,9.85,6.61,18,17.7,0.92,0.28,0.64,0.016,NA,NA
"HC7","2010-03-16","10:35",10.7,38,2.75,NA,NA,0.02,NA,93,173.6,103,11.2,11.24,5.88,7.2,4.9,0.77,0.5,0.27,0.011,NA,NA
"HSC6","2010-03-16","10:40",5.89,23.7,2.18,NA,NA,NA,NA,435,102.1,108.4,11.7,11.7,8.2,11.6,6.8,0.83,0.41,0.42,0.011,NA,NA
"LBC8","2010-03-16","9:50",8.81,35.7,3.32,NA,NA,0.02,NA,249,172.6,89.5,10.6,9.9,7,19.6,12.7,0.73,0.04,0.69,0.013,NA,NA
"MC10","2010-03-16","10:15",5.4,19.9,1.55,NA,NA,NA,NA,43,109.7,98.6,12.4,10.46,5.78,10.4,8.7,0.27,0.27,NA,0.011,NA,NA
"MC9","2010-03-16","8:45",7.79,29.3,2.38,NA,NA,0.05,NA,276,163.8,92.8,12.1,9.97,6.42,6.9,5.4,0.52,0.52,NA,0.015,NA,NA
"PC11","2010-03-16","9:10",9.68,35.3,2.69,NA,NA,0.08,NA,91,171.1,91.6,11.6,9.95,6.3,6,4.3,0.74,0.44,0.3,0.014,NA,NA
"PHB12","2010-03-16","8:35",19.4,71.8,5.68,NA,NA,0.02,NA,214,279,90.5,11.3,9.88,6.06,1.9,NA,2.01,2.01,NA,0.027,NA,NA
"RB15","2010-03-16","11:10",24.9,92.8,7.44,NA,0.06,0.37,NA,2420,357,90.1,11.6,9.74,6.12,4,2.8,2,2,NA,0.023,NA,NA
"RC13","2010-03-16","8:10",7.24,27.3,2.24,NA,NA,0.03,0.06,116,178.7,92.2,12.2,9.9,6.3,33.5,14,0.57,0.19,0.38,0.018,NA,NA
"RC14","2010-03-16","9:40",7.2,29,2.66,NA,NA,NA,NA,84,116.7,99.2,10.7,11.04,6.54,10.3,7.3,0.22,0.22,NA,0.011,NA,NA
"SC16","2010-03-16","8:50",9.96,43.9,4.61,NA,NA,0.02,NA,81,156,97.5,11.1,10.7,6.5,7.6,12.2,0,NA,NA,0.018,NA,NA
"TC17","2010-03-16","8:45",10.4,38.8,3.11,NA,NA,0.05,NA,58,173.2,93.3,11.9,10.1,6.4,8.4,4.1,0.76,0.25,0.51,0.011,NA,NA
"WC18","2010-03-16","7:30",7.97,29.5,2.32,NA,NA,NA,NA,344,145.5,90.3,12.1,9.67,6.29,14.4,12.8,1.28,0.9,0.38,0.023,NA,NA
"BB2","2010-06-15","9:25",7.01,25.1,1.85,NA,NA,NA,NA,649,111.1,84.2,24.4,7.05,6.64,3.6,NA,0.87,0.37,0.5,0.016,NA,NA
"BBS3","2010-06-15","7:30",6.85,24.3,1.74,NA,NA,0.14,NA,105,113.5,45.5,25.6,3.7,6.58,25.4,16.8,0.76,NA,0.76,0.013,NA,NA
"BDB1","2010-06-15","9:50",9.63,33.7,2.36,NA,NA,0.02,NA,1410,146.6,76.7,24.6,6.36,6.55,2.5,NA,1.05,0.55,0.5,0.016,NA,NA
"CC4","2010-06-15","9:25",8.9,31.6,2.28,NA,0.1,0.03,NA,225,238,71.2,27,5.7,6.4,6.2,11.7,1.15,0.27,0.88,0.016,NA,NA
"CC5","2010-06-15","8:00",6.93,24.8,1.82,NA,NA,0.03,NA,488,133.8,76.1,26.3,6.3,6.86,15.3,12.2,0.88,0.16,0.72,0.017,NA,NA
"HC7","2010-06-15","10:35",8.2,28.8,2.02,NA,NA,NA,NA,579,136.7,80.5,24,6.75,6.54,3.6,2.6,0.64,0.27,0.37,NA,NA,NA
"HSC6","2010-06-15","11:20",6.16,23.1,1.88,NA,NA,NA,NA,770,84.2,93.2,26.3,7.5,6.6,10.4,5.2,0.79,0.18,0.61,0.032,NA,NA
"LBC8","2010-06-15","10:25",8.86,31.9,2.38,NA,0.06,0.1,NA,140,161,65.1,25,5.4,6.4,15.6,6.4,0.99,0.03,0.96,NA,NA,NA
"MC10","2010-06-15","10:10",4.1,14.4,1.03,NA,NA,0.02,NA,613,67.5,75,27.3,5.94,6.37,12.8,7.6,0.92,0.1,0.82,NA,NA,NA
"MC9","2010-06-15","8:15",5.08,18.1,1.32,NA,NA,0.04,NA,461,83.2,77.2,26.4,6.35,6.39,10.8,7.8,0.78,0.13,0.65,NA,NA,NA
"PC11","2010-06-15","8:50",8.13,28,1.87,NA,NA,0.07,NA,201,120.3,78.9,26.3,6.38,6.78,8,8.5,0.15,0.15,NA,NA,NA,NA
"PHB12","2010-06-15","8:55",14.7,50.3,3.3,NA,NA,0.09,NA,1200,208,73.5,24.6,6.05,6.73,1.8,NA,1.72,1.17,0.55,0.016,NA,NA
"RB15","2010-06-15","11:10",20.3,69.4,4.54,NA,NA,NA,NA,1050,275,72.6,23.9,6.13,6.87,2.6,NA,2.34,1.9,0.44,0.014,NA,NA
"RC13","2010-06-15","8:25",5.45,19.5,1.43,NA,NA,0.03,NA,125,90,67.3,27.2,5.4,6.3,6.6,4.5,0.84,0.23,0.61,0.019,NA,NA
"RC14","2010-06-15","9:15",7.12,26.5,2.11,NA,NA,NA,NA,435,118.3,84.1,24.7,6.97,6.95,5.2,3.6,0.69,0.13,0.56,0.016,NA,NA
"SC16","2010-06-15","8:45",7.39,25.8,1.78,NA,NA,NA,NA,260,116.5,82.3,26,6.7,6.5,7.5,7.6,0.68,NA,0.68,NA,NA,NA
"TC17","2010-06-15","9:00",6.62,26.5,2.44,NA,NA,NA,NA,387,109.4,91.2,25.5,7.4,6.6,12.6,7.7,0.67,0.04,0.63,0.01,NA,NA
"WC18","2010-06-15","7:10",7.78,27.3,1.93,NA,NA,0.03,NA,238,140,78.8,24.8,6.52,6.68,7.9,7.8,0.54,0.2,0.34,0.012,NA,NA
"BB2","2010-09-14","9:15",8.45,30.2,2.22,NA,NA,NA,NA,687,155.4,79.7,19.3,7.38,6.38,1.3,NA,0.76,0.22,0.54,NA,NA,NA
"BBS3","2010-09-14","7:30",6.65,23.8,1.76,NA,0.3,0.04,NA,32,129.8,48.2,21,4.27,7.48,6.2,3,0.02,0.02,NA,NA,NA,NA
"BDB1","2010-09-14","9:40",9.27,33,2.4,NA,NA,0.02,NA,276,169.8,69.5,20.3,6.27,6.4,2.1,NA,0.59,0.59,NA,NA,NA,NA
"CC4","2010-09-14","9:20",11.3,39.8,2.81,NA,0.1,NA,NA,411,361,79.2,20.4,7.12,7.1,2,NA,2.83,1.94,0.89,NA,NA,NA
"CC5","2010-09-14","8:15",10.9,37,2.37,NA,NA,NA,NA,248,268,79.5,20.6,7.13,8,2.8,2.7,1.04,0.52,0.52,0.027,NA,NA
"HC7","2010-09-14","10:30",8.76,31.3,2.28,NA,NA,NA,NA,249,163.1,71.5,20.1,6.39,6.65,1.9,NA,0.08,0.08,NA,NA,NA,NA
"HSC6","2010-09-14","11:00",4.63,17.4,1.41,NA,NA,NA,NA,248,105.2,89.7,19.4,8.24,6.8,NA,NA,0.72,0.72,NA,NA,NA,NA
"LBC8","2010-09-14","10:15",14,52.5,4.25,NA,NA,NA,NA,27,250,41.8,21,3.27,7,10.8,9.9,1.03,NA,1.03,NA,NA,NA
"MC10","2010-09-14","10:10",5.32,18.4,1.24,NA,NA,NA,NA,236,75.9,74.2,20.1,6.71,6.45,3,3.3,0.63,0.22,0.41,NA,NA,NA
"MC9","2010-09-14","8:30",8.05,29.2,2.2,NA,NA,NA,NA,179,130.4,76.2,19.6,7.02,7.81,7,7.2,0.74,0.21,0.53,NA,NA,NA
"PC11","2010-09-14","9:00",14.9,47.4,2.48,NA,NA,NA,NA,248,154.3,79.8,20.2,7.24,7.81,3.3,2.8,0.72,0.28,0.44,NA,NA,NA
