"","sex","year","name","number"
"348","F",1911,"Ruth",227
"349","F",1911,"Elizabeth",208
"350","F",1911,"Ruby",188
"351","F",1911,"Margaret",185
"352","F",1911,"Ethel",182
"353","F",1911,"Louise",170
"354","F",1911,"Lillie",156
"355","F",1911,"Bessie",147
"356","F",1911,"Edna",134
"357","F",1911,"Helen",132
"358","F",1911,"Gladys",131
"359","F",1911,"Sarah",130
"360","F",1911,"Bertha",129
"361","F",1911,"Lillian",129
"362","F",1911,"Martha",128
"363","F",1911,"Hazel",123
"364","F",1911,"Mattie",123
"365","F",1911,"Thelma",122
"366","F",1911,"Mildred",120
"367","F",1911,"Hattie",119
"368","F",1911,"Virginia",114
"369","F",1911,"Carrie",113
"370","F",1911,"Maggie",113
"371","F",1911,"Nellie",113
"372","F",1911,"Alice",112
"373","F",1911,"Pauline",112
"374","F",1911,"Rosa",109
"375","F",1911,"Myrtle",107
"376","F",1911,"Dorothy",106
"377","F",1911,"Pearl",103
"378","F",1911,"Minnie",102
"379","F",1911,"Frances",100
"380","F",1911,"Lucy",98
"381","F",1911,"Grace",96
"382","F",1911,"Mamie",96
"383","F",1911,"Viola",96
"384","F",1911,"Eva",94
"385","F",1911,"Clara",92
"386","F",1911,"Emma",89
"387","F",1911,"Blanche",87
"388","F",1911,"Beatrice",85
"389","F",1911,"Anna",83
"390","F",1911,"Willie",83
"391","F",1911,"Ella",80
"392","F",1911,"Fannie",80
"393","F",1911,"Lucille",80
"394","F",1911,"Ida",78
"395","F",1911,"Jessie",78
"396","F",1911,"Mabel",78
"397","F",1911,"Beulah",77
"398","F",1911,"Lula",77
"399","F",1911,"Edith",76
"400","F",1911,"Irene",76
"401","F",1911,"Cora",75
"402","F",1911,"Evelyn",75
"403","F",1911,"Marie",74
"404","F",1911,"Lena",73
"405","F",1911,"Alma",68
"406","F",1911,"Catherine",67
"407","F",1911,"Daisy",67
"408","F",1911,"Sadie",67
"409","F",1911,"Sallie",67
"410","F",1911,"Laura",65
"411","F",1911,"Julia",64
"412","F",1911,"Mae",64
"413","F",1911,"Katie",63
"414","F",1911,"Maude",63
"415","F",1911,"Josephine",60
"416","F",1911,"Gertrude",58
"417","F",1911,"Lois",57
"418","F",1911,"Florence",56
"419","F",1911,"Lizzie",55
"420","F",1911,"Elsie",53
"421","F",1911,"Dora",52
"422","F",1911,"Lottie",52
"423","F",1911,"Estelle",51
"424","F",1911,"Esther",50
"425","F",1911,"Geneva",50
"426","F",1911,"Addie",48
"427","F",1911,"Nannie",48
"428","F",1911,"Ada",47
"429","F",1911,"Nettie",47
"430","F",1911,"Nora",47
"431","F",1911,"Flora",46
"432","F",1911,"Jennie",46
"433","F",1911,"Betty",43
"434","F",1911,"Effie",43
"435","F",1911,"Essie",43
"436","F",1911,"Mable",43
"437","F",1911,"Nancy",43
"438","F",1911,"Susie",43
"439","F",1911,"Georgia",41
"440","F",1911,"Ollie",41
"441","F",1911,"Inez",40
"442","F",1911,"Lessie",40
"443","F",1911,"Rose",39
"444","F",1911,"Eunice",38
"445","F",1911,"Flossie",37
"446","F",1911,"Janie",37
"447","F",1911,"Lela",37
"448","F",1911,"Agnes",36
"449","F",1911,"Rebecca",36
"450","F",1911,"Etta",35
"451","F",1911,"Katherine",35
"452","F",1911,"Kathleen",35
"453","F",1911,"Lola",35
"454","F",1911,"Naomi",35
"455","F",1911,"Rachel",34
"456","F",1911,"Juanita",33
"457","F",1911,"Nell",33
"458","F",1911,"Bonnie",32
"459","F",1911,"Bettie",31
"460","F",1911,"Della",31
"461","F",1911,"Eula",31
"462","F",1911,"Wilma",31
"463","F",1911,"Ellen",30
"464","F",1911,"Kate",30
"465","F",1911,"Ola",30
"466","F",1911,"Vera",29
"467","F",1911,"Stella",28
"468","F",1911,"Bernice",27
"469","F",1911,"Lucile",27
"470","F",1911,"Nina",27
"471","F",1911,"Christine",26
"472","F",1911,"Ila",26
"473","F",1911,"Sara",26
"474","F",1911,"Doris",24
"475","F",1911,"Mollie",24
"476","F",1911,"Odessa",24
"477","F",1911,"Estella",23
"478","F",1911,"Leola",23
"479","F",1911,"Leona",23
"480","F",1911,"Vivian",23
"481","F",1911,"Callie",22
"482","F",1911,"Emily",22
"483","F",1911,"Jane",21
"484","F",1911,"Marjorie",21
"485","F",1911,"Velma",21
"486","F",1911,"Eliza",20
"487","F",1911,"Ora",20
"488","F",1911,"Pattie",20
"489","F",1911,"Susan",20
"490","F",1911,"Anne",19
"491","F",1911,"Allie",18
"492","F",1911,"Cleo",18
"493","F",1911,"Elma",18
"494","F",1911,"Eloise",18
"495","F",1911,"Ina",18
"496","F",1911,"Margie",18
"497","F",1911,"Olivia",18
"498","F",1911,"Opal",18
"499","F",1911,"Rosetta",18
"500","F",1911,"Sally",18
"501","F",1911,"Sue",18
"502","F",1911,"Violet",18
"503","F",1911,"Alberta",17
"504","F",1911,"Amanda",17
"505","F",1911,"Bertie",17
"506","F",1911,"Connie",17
"507","F",1911,"Elva",17
"508","F",1911,"Macie",17
"509","F",1911,"Pansy",17
"510","F",1911,"Ann",16
"511","F",1911,"Charlotte",16
"512","F",1911,"Hilda",16
"513","F",1911,"May",16
"514","F",1911,"Pearlie",16
"515","F",1911,"Rena",16
"516","F",1911,"Erma",15
"517","F",1911,"Goldie",15
"518","F",1911,"Irma",15
"519","F",1911,"Kathryn",15
"520","F",1911,"Letha",15
"521","F",1911,"Marion",15
"522","F",1911,"Reba",15
"523","F",1911,"Retha",15
"524","F",1911,"Rosie",15
"525","F",1911,"Winnie",15
"526","F",1911,"Lettie",14
"527","F",1911,"Lila",14
"528","F",1911,"Mozelle",14
"529","F",1911,"Sudie",14
"530","F",1911,"Dovie",13
"531","F",1911,"Eleanor",13
"532","F",1911,"Hettie",13
"533","F",1911,"Iva",13
"534","F",1911,"Lee",13
"535","F",1911,"Lenora",13
"536","F",1911,"Madge",13
"537","F",1911,"Roberta",13
"538","F",1911,"Blanch",12
"539","F",1911,"Clyde",12
"540","F",1911,"Cornelia",12
"541","F",1911,"Elnora",12
"542","F",1911,"Faye",12
"543","F",1911,"Gussie",12
"544","F",1911,"Harriet",12
"545","F",1911,"Johnsie",12
"546","F",1911,"Lilly",12
"547","F",1911,"Madie",12
"548","F",1911,"Olive",12
"549","F",1911,"Roxie",12
"550","F",1911,"Victoria",12
"551","F",1911,"Virgie",12
"552","F",1911,"Audrey",11
"553","F",1911,"Ava",11
"554","F",1911,"Carolyn",11
"555","F",1911,"Cassie",11
"556","F",1911,"Delia",11
"557","F",1911,"Dessie",11
"558","F",1911,"Dollie",11
"559","F",1911,"Hallie",11
"560","F",1911,"Henrietta",11
"561","F",1911,"Jannie",11
"562","F",1911,"Lelia",11
"563","F",1911,"Lora",11
"564","F",1911,"Maud",11
"565","F",1911,"Mittie",11
"566","F",1911,"Novella",11
"567","F",1911,"Selma",11
"568","F",1911,"Adell",10
"569","F",1911,"Belle",10
"570","F",1911,"Clarice",10
"571","F",1911,"Gertie",10
"572","F",1911,"Hester",10
"573","F",1911,"Iola",10
"574","F",1911,"Jean",10
"575","F",1911,"Lina",10
"576","F",1911,"Lucinda",10
"577","F",1911,"Lydia",10
"578","F",1911,"Maxine",10
"579","F",1911,"Nola",10
"580","F",1911,"Queen",10
"581","F",1911,"Alda",9
"582","F",1911,"Avis",9
"583","F",1911,"Claudia",9
"584","F",1911,"Ernestine",9
"585","F",1911,"Frankie",9
"586","F",1911,"Glennie",9
"587","F",1911,"Isabel",9
"588","F",1911,"Josie",9
"589","F",1911,"Maudie",9
"590","F",1911,"Odell",9
"591","F",1911,"Smithie",9
"592","F",1911,"Verna",9
"593","F",1911,"Celia",8
"594","F",1911,"Dixie",8
"595","F",1911,"Gracie",8
"596","F",1911,"Hannah",8
"597","F",1911,"Jettie",8
"598","F",1911,"Lona",8
"599","F",1911,"Lou",8
"600","F",1911,"Lue",8
"601","F",1911,"Mavis",8
"602","F",1911,"Caroline",7
"603","F",1911,"Eugenia",7
"604","F",1911,"Evie",7
"605","F",1911,"Fay",7
"606","F",1911,"Francis",7
"607","F",1911,"Geraldine",7
"608","F",1911,"Janet",7
"609","F",1911,"Jeanette",7
"610","F",1911,"Lorene",7
"611","F",1911,"Macy",7
"612","F",1911,"Matilda",7
"613","F",1911,"Maybell",7
"614","F",1911,"Nelle",7
"615","F",1911,"Ophelia",7
"616","F",1911,"Patsy",7
"617","F",1911,"Tessie",7
"618","F",1911,"Vada",7
"619","F",1911,"Vernie",7
"620","F",1911,"Vida",7
"621","F",1911,"Adele",6
"622","F",1911,"Aline",6
"623","F",1911,"Amy",6
"624","F",1911,"Arlene",6
"625","F",1911,"Beaulah",6
"626","F",1911,"Donnie",6
"627","F",1911,"Flonnie",6
"628","F",1911,"Floy",6
"629","F",1911,"Isabelle",6
"630","F",1911,"James",6
"631","F",1911,"Jeannette",6
"632","F",1911,"Lossie",6
"633","F",1911,"Louvenia",6
"634","F",1911,"Luvenia",6
"635","F",1911,"Madeline",6
