"day_of_week","day","month","year","road","road_feature","weather","traffic_control"
"Saturday",28,"May",2016,"WAKEFIELD PLANTATION D","Traffic circle/roundabout","Clear","No control present"
"Monday",30,"May",2016,"410 GLENWOOD AVE","No Special Feature","Clear","No control present"
"Friday",10,"June",2016,"BUCK JONES RD","No Special Feature","Clear","No control present"
"Monday",13,"June",2016,"GORMAN ST","No Special Feature","Clear","Stop sign"
"Monday",13,"June",2016,"BRENTWOOD RD","No Special Feature","Clear","Stop sign"
"Wednesday",15,"June",2016,"YONKERS  RD","No Special Feature","Cloudy","Stop and go signal"
"Saturday",25,"June",2016,"S MCDOWELL ST","Four-way intersection","Clear","Stop and go signal"
"Thursday",30,"June",2016,"CREECH RD","T-intersection","Clear","Stop and go signal"
"Thursday",14,"July",2016,"JONES FRANKLIN RD","No Special Feature","Clear","Stop and go signal"
"Thursday",28,"July",2016,"W MORGAN ST","No Special Feature","Clear","No control present"
"Sunday",7,"August",2016,"S WILMINGTON ST","No Special Feature","Cloudy","No control present"
"Thursday",11,"August",2016,"LEAD MINE RD","Four-way intersection","Clear","Stop and go signal"
"Tuesday",16,"August",2016,"E JONES ST","No Special Feature","Clear","Stop sign"
"Wednesday",17,"August",2016,"WESTERN  BLVD","No Special Feature","Clear","Stop and go signal"
"Sunday",21,"August",2016,"CHAPANOKE RD","No Special Feature","Clear","Stop and go signal"
"Monday",22,"August",2016,"CREECH RD","T-intersection","Clear","Stop and go signal"
"Saturday",27,"August",2016,"PEACE ST","Four-way intersection","Clear","Stop sign"
"Sunday",28,"August",2016,"WAKEFIELD CROSSING DR","No Special Feature","Clear","Stop sign"
"Tuesday",6,"September",2016,"AVENT FERRY RD","No Special Feature","Clear","No control present"
"Friday",9,"September",2016,"NORTH HILLS DR","No Special Feature","Clear","Stop and go signal"
"Saturday",10,"September",2016,"WYCKFORD FOREST DR","T-intersection","Clear","Stop sign"
"Wednesday",14,"September",2016,"NEW HOPE  RD","Four-way intersection","Clear","Stop and go signal"
"Friday",9,"September",2016,"HAMMOND RD","No Special Feature","Clear","No control present"
"Monday",19,"September",2016,"WESTERN  BLVD","No Special Feature","Rain","Stop and go signal"
"Saturday",24,"September",2016,"BOYLAN AVE","Four-way intersection","Clear","No control present"
"Thursday",29,"September",2016,"W CABARRUS ST","No Special Feature","Clear","No control present"
"Thursday",29,"September",2016,"MLK JR BLVD","No Special Feature","Cloudy","Stop and go signal"
"Sunday",2,"October",2016,"NEW BERN AVE","No Special Feature","Clear","Stop and go signal"
"Tuesday",11,"October",2016,"OBERLIN RD","No Special Feature","Clear","No control present"
"Monday",17,"October",2016,"OAKWOOD AVE","Four-way intersection","Clear","Stop and go signal"
"Tuesday",18,"October",2016,"WESTGATE DR","T-intersection","Clear","No control present"
"Wednesday",19,"October",2016,"PULLEN RD","T-intersection","Clear","Double yellow line (no passing zone)"
"Thursday",20,"October",2016,"LAKE WHEELER RD","T-intersection","Clear","Stop and go signal"
"Thursday",20,"October",2016,"BEVERLY DR","No Special Feature","Clear","No control present"
"Wednesday",19,"October",2016,"GORMAN ST","Non-intersection median crossing","Clear","Other*"
"Saturday",22,"October",2016,"BELLWOOD DR","No Special Feature","Clear","No control present"
"Sunday",23,"October",2016,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Wednesday",26,"October",2016,"GLENWOOD AVE","No Special Feature","Clear","No control present"
"Monday",7,"November",2016,"ROCK QUARRY RD","Four-way intersection","Clear","Stop and go signal"
"Wednesday",16,"November",2016,"8001 CREEDMOOR RD","No Special Feature","Clear","No control present"
"Tuesday",22,"November",2016,"N RALEIGH BLVD","Four-way intersection","Clear","Stop and go signal"
"Wednesday",30,"November",2016,"W PEACE ST","On-ramp entry","Cloudy","Stop and go signal"
"Thursday",1,"December",2016,"ROCK QUARRY RD","T-intersection","Clear","No control present"
"Tuesday",6,"December",2016,"S STATE ST","T-intersection","Rain","Stop sign"
"Tuesday",6,"December",2016,"S WILMINGTON ST","No Special Feature","Rain","No control present"
"Saturday",10,"December",2016,"JACKSON ST","Four-way intersection","Clear","Stop sign"
"Wednesday",14,"December",2016,"WESTERN BLVD","No Special Feature","Clear","Stop and go signal"
"Thursday",22,"December",2016,"HILLSBOROUGH ST","Four-way intersection","Clear","Stop sign"
"Friday",13,"January",2017,"WESTERN  BLVD","Related to intersection","Clear","Stop and go signal"
"Tuesday",31,"January",2017,"TRAWICK RD","No Special Feature","Clear","Stop sign"
"Saturday",18,"February",2017,"CAPITAL  BLVD","Four-way intersection","Clear","Stop and go signal"
"Friday",17,"February",2017,"ASHE AVE","No Special Feature","Clear","Stop sign"
"Friday",24,"February",2017,"HILLSBOROUGH ST","T-intersection","Clear","Stop and go signal"
"Thursday",2,"March",2017,"VARSITY DR","Four-way intersection","Clear","Stop and go signal"
"Wednesday",8,"March",2017,"BELLS VALLEY DR","T-intersection","Clear","Stop sign"
"Monday",20,"March",2017,"TRINITY RD","Four-way intersection","Fog, smog, smoke","Stop and go signal"
"Monday",20,"March",2017,"TUCKER ST","No Special Feature","Clear","No control present"
"Wednesday",22,"March",2017,"PERRY CREEK RD","No Special Feature","Clear","No control present"
"Friday",24,"March",2017,"VALLEY STREAM DR","Four-way intersection","Clear","Stop and go signal"
"Saturday",1,"April",2017,"S EAST ST","Four-way intersection","Clear",""
"Thursday",6,"April",2017,"1110 MCKIMMON VIEW CT","No Special Feature","Clear","No control present"
"Friday",7,"April",2017,"WESTER RD","Four-way intersection","Clear","Stop and go signal"
"Tuesday",11,"April",2017,"4100 WESTERN BLVD","Driveway, public","Clear","No control present"
"Friday",21,"April",2017,"FALLS OF NEUSE RD","T-intersection","Clear","Stop sign"
"Wednesday",26,"April",2017,"APPLE BLOSSOM DR","T-intersection","Clear","Stop sign"
"Sunday",30,"April",2017,"PLAINVIEW DR","No Special Feature","Clear","No control present"
"Wednesday",3,"May",2017,"SEAWELL AVE","Four-way intersection","Clear","Stop sign"
"Thursday",4,"May",2017,"8304 FALLS OF NEUSE RD","No Special Feature","Cloudy","No control present"
"Friday",12,"May",2017,"LYNN RD","Four-way intersection","Cloudy","Stop and go signal"
"Saturday",13,"May",2017,"NEW HOPE RD","No Special Feature","Clear","No control present"
"Monday",15,"May",2017,"MANASSASS ST","No Special Feature","Clear","Stop sign"
"Thursday",18,"May",2017,"CHARNY DR","No Special Feature","Clear","Stop sign"
"Saturday",20,"May",2017,"SAWMILL RD","No Special Feature","Clear","No control present"
"Monday",22,"May",2017,"BREWSTER DR","No Special Feature","Clear","No control present"
"Tuesday",23,"May",2017,"3524 CAPITAL BLVD","Driveway, public","Rain","No control present"
"Monday",12,"June",2017,"HILLSBOROGH ST","No Special Feature","Clear","Stop and go signal"
"Thursday",15,"June",2017,"LIBERTY PL","No Special Feature","Cloudy","No control present"
