"county","census_tract","population","ozone_pollution","particle_pollution","cancer_life_prob","disposal_area","lead_area","park_area","walkability","highway_area","impaired_water","minority","minority_category","poverty","uninsured","no_high_school","unemployed","high_blood_pressure","asthma","cancer","mental_health","diabetes","env_burden_rank","health_vuln_rank","social_vuln_rank","env_justice_rank"
"Perquimans",9202.01,2948,0.33,7.6,24.53,0,0,0,6.22,17.12,0,32.3,"btwn_25_50",36.8053,18.5,13.4,12.4,43.5,10.9,8.2,15.8,16.2,0.0982,1,0.9658,0.8404
"Perquimans",9202.02,4059,0.33,7.48,23.14,0,0,0,3.83,16.69,6.73,23.5,"less_25",33.1084,10.5,11,9.2,45,9.8,10,12.7,15.7,0.1196,0.6,0.5569,0.5118
"Person",9201,6712,0,9.13,31.4,0,0,0,3.42,20.11,11.64,30.2,"btwn_25_50",35.5802,5.3,13,4,39.3,10.4,7.2,15.2,13.9,0.5604,0.6,0.6216,0.7429
"Person",9202,6554,0,9.15,31.8,0,0,0.2,4.29,13.06,5.67,21.4,"less_25",23.8007,3.5,8.3,1.2,38.1,9.9,7.7,14,13.3,0.3598,0.6,0.4426,0.5763
"Person",9203,5487,0,9.18,33.06,0,0,61.16,7.5,67.44,10.72,60.1,"btwn_50_75",50.6662,13.9,21.7,9.3,46.6,12,7.8,18.4,18.9,0.7549,1,0.9616,0.9934
"Person",9204,2875,0,9.19,31.71,0,0,6.35,8.94,79.08,6.72,65.1,"btwn_50_75",45.2522,9.7,13.5,7.6,43,11.1,7.8,15.3,16.4,0.4119,0.8,0.9581,0.8715
"Person",9205,6946,0,9.25,31.16,0,0,0,4.46,29.02,0.84,19.2,"less_25",24.256,5.2,12.3,4.1,34.6,9.9,6.9,14.5,11.4,0.3664,0,0.3342,0.1843
"Person",9206.01,5789,0,9.2,30.75,0,0,0,5.04,24.28,1.03,35.9,"btwn_25_50",41.8879,17.3,15.7,11.1,39.7,10.6,7.4,15.8,14.2,0.1857,0.8,0.8672,0.7686
"Person",9206.02,4982,0,9.24,31.19,0,0,0,5.08,11.99,0.49,24.1,"less_25",30.0406,9,11.3,11.5,34.4,9.6,7,13.9,11.2,0.2575,0,0.5046,0.2166
"Pitt",1,6499,0,8.49,30.46,0,0,0,9.67,34.44,30.01,34.7,"btwn_25_50",75.1691,11,18,7.9,25.4,12.3,2.8,23.2,9.3,0.7369,0.4,0.8089,0.8023
"Pitt",2.01,4314,0,8.46,29.87,0,0,0,7.21,66.9,18.62,29.9,"btwn_25_50",62.7885,6.4,9,12.8,24.5,10.7,4.9,19.5,7.8,0.2344,0.4,0.6296,0.5052
"Pitt",2.02,3009,0,8.46,29.76,0,0,0,8.42,100,76.56,32.9,"btwn_25_50",49.3472,17.5,4.5,5,29.1,10.1,5.6,16.1,9.6,0.4052,0.2,0.3109,0.3036
"Pitt",3.01,2940,0,8.46,29.92,0,0,0,8.5,74.91,13.73,24.6,"less_25",25.6323,8.6,5.5,3.5,27.8,8.3,6.9,10.3,7.7,0.2258,0,0.315,0.1096
"Pitt",3.02,9012,0,8.43,29.78,0,0,0,7.25,64.46,0.1,39.2,"btwn_25_50",52.9722,13.5,4.6,10.1,25.6,10.3,4.8,16.2,8.2,0.1488,0.2,0.6545,0.3569
"Pitt",4,7183,0,8.48,30.42,0,0,0,10.29,86.14,74.97,28.3,"btwn_25_50",35.3604,4.2,0,24.3,13.7,10.7,2.2,18.8,3.4,0.5232,0.4,0.3804,0.5265
"Pitt",5.01,6414,0,8.5,30.05,0,0,0,9.94,78.69,22.79,48.5,"btwn_25_50",25.5905,3.5,4.5,3.5,32.5,9.3,6.6,11.8,10.1,0.4031,0,0.3514,0.2123
"Pitt",5.02,7964,0,8.47,29.94,0,0,0,9.89,56.01,6.16,34.5,"btwn_25_50",51.3938,6.6,3.8,8.5,22.2,10.9,3.6,18.6,6.8,0.2145,0.4,0.5324,0.4395
"Pitt",6.01,8471,0,8.54,29.09,0,0,0,6.42,34.46,24.38,72.2,"btwn_50_75",55.4232,13,13.3,9.4,32.5,10.9,5.4,16.1,10.8,0.6301,0.4,0.9099,0.8002
"Pitt",6.02,6043,0,8.54,29.62,0,0,0,8.33,75.79,78.82,69,"btwn_50_75",46.1602,14.9,7,10.4,32.6,11.2,4.5,17.1,11,0.3637,0.4,0.7073,0.609
"Pitt",6.03,10647,0,8.54,29.03,0,0,0,7.96,85.81,26.17,53,"btwn_50_75",43.7212,8.9,3.4,6.4,28.4,9.9,4.8,14.4,9.2,0.2409,0,0.5632,0.2395
"Pitt",7.01,3248,0,8.51,29.63,0,0,0,9.17,0,2.95,75.5,"greater_75",66.6564,9.6,18.5,14.9,45.9,12.9,5.7,18.5,20.4,0.6134,0.8,0.8699,0.9028
"Pitt",7.02,2910,0,8.51,30.26,0,0,0,11.83,24.61,65.94,90,"greater_75",65.6454,7.8,16.3,23.8,50.3,13.2,5.6,19.5,21,0.6488,0.8,0.9768,0.9379
"Pitt",8,3270,0,8.47,29.88,17.97,0,0,7.75,52.09,0,81.7,"greater_75",61.674,11.8,19.3,10.5,41.4,11.6,5.2,17.5,16.1,0.8574,0.8,0.9885,0.9841
"Pitt",9,8102,0,8.25,28.06,1.89,0,0,4.72,31.91,12.47,56,"btwn_50_75",52.1519,17.6,21.2,4,32.6,11.7,5,19.8,12.6,0.662,0.6,0.829,0.8489
"Pitt",10.01,2137,0,8.28,28.57,0,0,0,4.5,1.7,0.01,32.6,"btwn_25_50",32.0075,4.5,6.4,5.4,25.9,10.2,4.4,16.1,8,0.064,0.2,0.3363,0.1356
"Pitt",10.02,6217,0,8.3,28.18,0,0,0,5.17,0,0,32.2,"btwn_25_50",17.1304,6.8,7.4,1.9,29.3,9,6,12.6,8.8,0.0502,0,0.2934,0.0443
"Pitt",10.03,5851,0,8.39,28.9,0,0,0,5.5,0,0.67,16.8,"less_25",18.199,6.6,3.7,5.6,29.5,8.8,6.7,11.8,8.8,0.0512,0,0.1948,0.0233
"Pitt",11,5236,0,8.18,26.94,0,0,0,3.94,0,4.88,27.3,"btwn_25_50",27.0626,17.1,10.7,10.3,34.2,9.7,6.8,14.2,11.2,0.046,0,0.7329,0.2255
"Pitt",12,6454,0,8.24,28.27,0,0,0,3.5,0,9.99,27.7,"btwn_25_50",34.7227,5.8,16.8,2.8,28.8,10,5.5,15.8,9.7,0.0499,0.2,0.6824,0.3133
"Pitt",13.01,4089,0,8.54,28.39,0,0,0,9.5,71.48,30.69,47.7,"btwn_25_50",18.7576,4.3,8.1,6.6,29.2,9.5,5.5,13.1,8.7,0.1687,0,0.5232,0.18
"Pitt",13.02,5701,0,8.5,29.01,0,0,0,7.42,59.82,17.82,45.3,"btwn_25_50",16.1862,5.2,5.4,2.7,30.5,9.3,6.1,12.5,9.5,0.238,0,0.3502,0.1301
"Pitt",13.03,8006,0,8.46,29.2,0,0,0,6.06,0,1.64,34.8,"btwn_25_50",15.0512,8,7,3.8,24.1,8.8,5,12.3,6.9,0.0714,0,0.3752,0.0752
"Pitt",14.01,4644,0,8.52,28.45,0.97,0,0,6.96,97.13,26.48,47.1,"btwn_25_50",41.4204,11.4,17.6,14,42.3,10.9,7.9,15.4,15.7,0.5381,0.8,0.9427,0.902
