"Song","Artist","Date","Number_one_weeks","Overall.Rating","Genre","Length","Artist.Male","Artist.White","Artist.Black","Age","BPM","Energy","Danceability","Happiness","Loudness","Key","Explicit"
"Downtown","Petula Clark","23-Jan-65",2,7.67,"Pop",183,0,1,0,32,117,69,48,60,-8,"E",0
"You've Lost That Lovin' Feelin'","The Righteous Brothers","6-Feb-65",2,8.33,"Funk/Soul",225,1,1,0,24,95,31,37,38,-14,"Db",0
"This Diamond Ring","Gary Lewis & the Playboys","20-Feb-65",2,3.67,"Rock",137,1,1,0,19,133,61,63,77,-11,"Multiple Keys",0
"My Girl","The Temptations","6-Mar-65",1,10,"Pop",165,1,0,1,24,105,42,58,67,-11,"C",0
"Eight Days a Week","The Beatles","13-Mar-65",2,7,"Rock",163,1,1,0,23,138,58,65,74,-8,"D",0
"Stop! In the Name of Love","The Supremes","27-Mar-65",2,8.33,"Pop",172,0,0,1,21,115,58,70,53,-6,"C",0
"I'm Telling You Now","Freddie & the Dreamers","10-Apr-65",2,4,"Rock",128,1,1,0,28,71,70,61,89,-7,"Ab",0
"The Game of Love","Wayne Fontana & the Mindbenders","24-Apr-65",1,7,"Rock",127,1,1,0,19,109,84,57,95,-4,"A",0
"Mrs. Brown, You've Got a Lovely Daughter","Herman's Hermits","1-May-65",3,3,"Pop",167,1,1,0,17,149,47,66,89,-10,"Multiple Keys",0
"Ticket to Ride","The Beatles","22-May-65",1,10,"Rock",189,1,1,0,23,123,85,52,75,-7,"A",0
"Help Me, Rhonda","The Beach Boys","29-May-65",2,7,"Rock",167,1,1,0,22,140,75,54,82,-6,"Db",0
"Back in My Arms Again","The Supremes","12-Jun-65",1,7.33,"Pop",174,0,0,1,21,123,53,71,48,-9,"C",0
"I Can't Help Myself (Sugar Pie Honey Bunch)","Four Tops","19-Jun-65",2,8.67,"Pop",163,1,0,1,29,127,71,69,96,-5,"C",0
"Mr. Tambourine Man","The Byrds","26-Jun-65",1,8.33,"Rock",149,1,1,0,22,120,47,46,64,-10,"D",0
"(I Can't Get No) Satisfaction","The Rolling Stones","10-Jul-65",4,9.33,"Rock",222,1,1,0,21,136,85,73,90,-8,"D",1
"I'm Henry VIII, I Am","Herman's Hermits","7-Aug-65",1,4.67,"Rock",110,1,1,0,17,93,64,67,84,-10,"A",0
"I Got You Babe","Sonny & Cher","14-Aug-65",3,8,"Rock",193,2,1,0,25,111,71,62,62,-9,"F",0
"Help!","The Beatles","4-Sep-65",3,9,"Pop;Rock",140,1,1,0,24,95,73,53,76,-8,"A",0
"Eve of Destruction","Barry McGuire","25-Sep-65",1,5.67,"Folk/Country",217,1,1,0,30,118,47,59,77,-12,"D",0
